"filename", "language", "Properties", "YAML", "Groovy", "Dart", "Markdown", "Swift", "C++", "XML", "JSON", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Proyecto\citasnuevo\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\Proyecto\citasnuevo\android\app\build.gradle", "Groovy", 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 12, 68
"d:\Proyecto\citasnuevo\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"d:\Proyecto\citasnuevo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"d:\Proyecto\citasnuevo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 2, 56
"d:\Proyecto\citasnuevo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Proyecto\citasnuevo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Proyecto\citasnuevo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"d:\Proyecto\citasnuevo\android\build.gradle", "Groovy", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Proyecto\citasnuevo\android\gradle.properties", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Proyecto\citasnuevo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Proyecto\citasnuevo\android\settings.gradle", "Groovy", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Proyecto\citasnuevo\android\settings_aar.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 1, 123
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Conversacion.dart", "Dart", 0, 0, 0, 726, 0, 0, 0, 0, 0, 4, 76, 806
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Directo.dart", "Dart", 0, 0, 0, 871, 0, 0, 0, 0, 0, 12, 77, 960
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ManejadorMultimedia.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\PerfilesUsuarios.dart", "Dart", 0, 0, 0, 900, 0, 0, 0, 0, 0, 386, 236, 1522
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Usuario.dart", "Dart", 0, 0, 0, 554, 0, 0, 0, 0, 0, 143, 74, 771
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Valoraciones.dart", "Dart", 0, 0, 0, 212, 0, 0, 0, 0, 0, 1, 11, 224
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\actividad.dart", "Dart", 0, 0, 0, 2228, 0, 0, 0, 0, 0, 194, 167, 2589
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\Pantalla_Actividades.dart", "Dart", 0, 0, 0, 814, 0, 0, 0, 0, 0, 15, 55, 884
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\TarjetaEvento.dart", "Dart", 0, 0, 0, 175, 0, 0, 0, 0, 0, 4, 15, 194
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\home_screen_elements.dart", "Dart", 0, 0, 0, 177, 0, 0, 0, 0, 0, 4, 21, 202
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\pantalla_actividades_elements.dart", "Dart", 0, 0, 0, 1996, 0, 0, 0, 0, 0, 60, 119, 2175
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Busqueda\search_screen.dart", "Dart", 0, 0, 0, 124, 0, 0, 0, 0, 0, 10, 15, 149
